mcc,description,category
5045,"Computers, Computer Peripheral Equipment, Software",Retail outlets
5046,"Commercial Equipment, Not Elsewhere Classified",Retail outlets
5047,"Medical, Dental Ophthalmic, Hospital Equipment and Supplies",Retail outlets
5051,Metal Service Centers and Offices,Retail outlets
5065,Electrical Parts and Equipment,Retail outlets
5072,Hardware Equipment and Supplies,Retail outlets
5074,Plumbing and Heating Equipment and Supplies,Retail outlets
5085,"Industrial Supplies, Not Elsewhere Classified",Retail outlets
5094,"Precious Stones and Metals, Watches and Jewelry",Retail outlets
5099,"Durable Goods, Not Elsewhere Classified",Retail outlets
5111,"Stationery, Office Supplies, Printing, and Writing Paper",Retail outlets
5122,"Drugs, Drug Proprietors, and Druggist's Sundries",Retail outlets
5131,"Piece Goods, Notions, and Other Dry Goods",Retail outlets
5137,Men's Women's and Children's Uniforms and Commercial Clothing,Retail outlets
5139,Commercial Footwear,Retail outlets
5169,"Chemicals and Allied Products, Not Elsewhere Classified",Retail outlets
5172,Petroleum and Petroleum Products,Retail outlets
5192,"Books, Periodicals, and Newspapers",Retail outlets
5193,"Florists' Supplies, Nursery Stock and Flowers",Retail outlets
5198,"Paints, Varnishes, and Supplies",Retail outlets
5199,"Non-durable Goods, Not Elsewhere Classified",Retail outlets
5200,Home Supply Warehouse Stores,Retail outlets
5211,Lumber and Building Materials Stores,Retail outlets
5231,"Glass, Paint, and Wallpaper Stores",Retail outlets
5251,Hardware Stores,Retail outlets
5261,Nurseries - Lawn and Garden Supply Store,Retail outlets
5271,Mobile Home Dealers,Retail outlets
5300,Wholesale Clubs,Retail outlets
5309,Duty Free Store,Retail outlets
5310,Discount Stores,Retail outlets
5311,Department Stores,Retail outlets
5331,Variety Stores,Retail outlets
5399,Misc. General Merchandise,Retail outlets
5411,"Grocery Stores, Supermarkets",Retail outlets
5422,Meat Provisioners - Freezer and Locker,Retail outlets
5441,"Candy, Nut, and Confectionery Stores",Retail outlets
5451,Dairy Products Stores,Retail outlets
5462,Bakeries,Retail outlets
5499,Misc. Food Stores - Convenience Stores and Specialty Markets,Retail outlets
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",Automobiles and vehicles
5521,Automobile and Truck Dealers (Used Only),Automobiles and vehicles
5531,Automobile Supply Stores,Automobiles and vehicles
5532,Automotive Tire Stores,Automobiles and vehicles
5533,"Automotive Parts, Accessories Stores",Automobiles and vehicles
5541,Service Stations (with or without ancillary services),Automobiles and vehicles
5542,Automated Fuel Dispensers,Automobiles and vehicles
5551,Boat Dealers,Automobiles and vehicles
5561,"Recreational and Utility Trailers, Camp Dealers",Automobiles and vehicles
5571,Motorcycle Dealers,Automobiles and vehicles
5592,Motor Home Dealers,Automobiles and vehicles
5598,Snowmobile Dealers,Automobiles and vehicles
5599,Miscellaneous Auto Dealers ,Automobiles and vehicles
5611,Men's and Boy's Clothing and Accessories Stores,Clothing outlets
5621,Women's Ready-to-Wear Stores,Clothing outlets
5631,Women's Accessory and Specialty Shops,Clothing outlets
5641,Children's and Infant's Wear Stores,Clothing outlets
5651,Family Clothing Stores,Clothing outlets
5655,"Sports Apparel, Riding Apparel Stores",Clothing outlets
5661,Shoe Stores,Clothing outlets
5681,Furriers and Fur Shops,Clothing outlets
5691,Men's and Women's Clothing Stores,Clothing outlets
5697,"Tailors, Seamstress, Mending, and Alterations",Clothing outlets
5698,Wig and Toupee Stores,Clothing outlets
5699,Miscellaneous Apparel and Accessory Shops,Clothing outlets
5711,(unknown),Miscellaneous outlets
5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",Miscellaneous outlets
5713,Floor Covering Stores,Miscellaneous outlets
5714,"Drapery, Window Covering and Upholstery Stores",Miscellaneous outlets
5718,"Fireplace, Fireplace Screens, and Accessories Stores",Miscellaneous outlets
5719,Miscellaneous Home Furnishing Specialty Stores,Miscellaneous outlets
5722,Household Appliance Stores,Miscellaneous outlets
5732,Electronic Sales,Miscellaneous outlets
5733,"Music Stores, Musical Instruments, Piano Sheet Music",Miscellaneous outlets
5734,Computer Software Stores,Miscellaneous outlets
5735,Record Shops,Miscellaneous outlets
5811,Caterers,Miscellaneous outlets
5812,Eating places and Restaurants,Miscellaneous outlets
5813,"Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques",Miscellaneous outlets
5814,Fast Food Restaurants,Miscellaneous outlets
5815,"Digital Goods: Media, Books, Movies, Music",Miscellaneous outlets
5816,Digital Goods: Games,Miscellaneous outlets
5817,Digital Goods: Applications (Excludes Games),Miscellaneous outlets
5818,Digital Goods: Large Digital Goods Merchant,Miscellaneous outlets
5832,"Antique Shops - Sales, Repairs, and Restoration Services",Miscellaneous outlets
5912,Drug Stores and Pharmacies,Miscellaneous outlets
5919,Pharmacies,Miscellaneous outlets
5921,"Package Stores - Beer, Wine, and Liquor",Miscellaneous outlets
5931,Used Merchandise and Secondhand Stores,Miscellaneous outlets
5932,Antique Shops,Miscellaneous outlets
5933,Pawn Shops and Salvage Yards,Miscellaneous outlets
5935,Wrecking and Salvage Yards,Miscellaneous outlets
5937,Antique Reproductions,Miscellaneous outlets
5940,Bicycle Shops - Sales and Service,Miscellaneous outlets
5941,Sporting Goods Stores,Miscellaneous outlets
5942,Book Stores,Miscellaneous outlets
5943,"Stationery Stores, Office and School Supply Stores",Miscellaneous outlets
5944,"Watch, Clock, Jewelry, and Silverware Stores",Miscellaneous outlets
5945,"Hobby, Toy, and Game Shops",Miscellaneous outlets
5946,Camera and Photographic Supply Stores,Miscellaneous outlets
5947,"Card Shops, Gift, Novelty, and Souvenir Shops",Miscellaneous outlets
5948,Leather Foods Stores,Miscellaneous outlets
5949,"Sewing, Needle, Fabric, and Price Goods Stores",Miscellaneous outlets
5950,Glassware/Crystal Stores,Miscellaneous outlets
5960,Direct Marketing - Insurance Service,Miscellaneous outlets
5961,"Mail Order Houses Including Catalog Order Stores, Book/Record Clubs (No longer permitted for U.S. original presentments)",Miscellaneous outlets
5962,Direct Marketing - Travel Related Arrangements Services,Miscellaneous outlets
5963,Door-to-Door Sales,Miscellaneous outlets
5964,Direct Marketing - Catalog Merchant,Miscellaneous outlets
5965,Direct Marketing - Catalog and Catalog and Retail Merchant,Miscellaneous outlets
5966,Direct Marketing - Outbound Telemarketing Merchant,Miscellaneous outlets
5967,Direct Marketing - Inbound Teleservices Merchant,Miscellaneous outlets
5968,Direct Marketing - Continuity/Subscription Merchant,Miscellaneous outlets
5969,Direct Marketing - Not Elsewhere Classified,Miscellaneous outlets
5970,Artist's Supply and Craft Shops,Miscellaneous outlets
5971,Art Dealers and Galleries,Miscellaneous outlets
5972,Stamp and Coin Stores - Philatelic and Numismatic Supplies,Miscellaneous outlets
5973,Religious Goods Stores,Miscellaneous outlets
5975,"Hearing Aids - Sales, Service, and Supply Stores",Miscellaneous outlets
5976,Orthopedic Goods Prosthetic Devices,Miscellaneous outlets
5977,Cosmetic Stores,Miscellaneous outlets
5978,"Typewriter Stores - Sales, Rental, Service",Miscellaneous outlets
5983,"Fuel - Fuel Oil, Wood, Coal, Liquefied Petroleum",Miscellaneous outlets
5992,Florists,Miscellaneous outlets
5993,Cigar Stores and Stands,Miscellaneous outlets
5994,News Dealers and Newsstands,Miscellaneous outlets
5995,"Pet Shops, Pet Foods, and Supplies Stores",Miscellaneous outlets
5996,"Swimming Pools - Sales, Service, and Supplies",Miscellaneous outlets
5997,Electric Razor Stores - Sales and Service,Miscellaneous outlets
5998,Tent and Awning Shops,Miscellaneous outlets
5999,Miscellaneous and Specialty Retail Stores,Miscellaneous outlets
6010,Financial Institutions - Manual Cash Disbursements,Service providers
6011,Financial Institutions - Manual Cash Disbursements,Service providers
6012,Financial Institutions - Merchandise and Services,Service providers
6051,"Non-Financial Institutions - Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques",Service providers
6211,Security Brokers/Dealers,Service providers
6300,"Insurance Sales, Underwriting, and Premiums",Service providers
6381,"Insurance Premiums, (no longer valid for first presentment work)",Service providers
6399,"Insurance, Not Elsewhere Classified (no longer valid for first presentment work)",Service providers
6513,Real Estate Agents and Managers - Rentals,Service providers
7011,"Lodging - Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)",Service providers
7012,Timeshares,Service providers
7032,Sporting and Recreational Camps,Service providers
7033,Trailer Parks and Camp Grounds,Service providers
7210,"Laundry, Cleaning, and Garment Services",Service providers
7211,Laundry - Family and Commercial,Service providers
7216,Dry Cleaners,Service providers
7217,Carpet and Upholstery Cleaning,Service providers
7221,Photographic Studios,Service providers
7230,Barber and Beauty Shops,Service providers
7251,"Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops",Service providers
7261,Funeral Service and Crematories,Service providers
7273,Dating and Escort Services,Service providers
7276,Tax Preparation Service,Service providers
7277,"Counseling Service - Debt, Marriage, Personal",Service providers
7278,"Buying/Shopping Services, Clubs",Service providers
7296,"Clothing Rental - Costumes, Formal Wear, Uniforms",Service providers
7297,Massage Parlors,Service providers
7298,Health and Beauty Shops,Service providers
7299,Miscellaneous Personal Services (not elsewhere classified),Service providers
7311,Advertising Services,Business services
7321,Consumer Credit Reporting Agencies,Business services
7332,Blueprinting and Photocopying Services,Business services
7333,"Commercial Photography, Art and Graphics",Business services
7338,"Quick Copy, Reproduction and Blueprinting Services",Business services
7339,Stenographic and Secretarial Support Services,Business services
7342,Exterminating and Disinfecting Services,Business services
7349,"Cleaning and Maintenance, Janitorial Services",Business services
7361,"Employment Agencies, Temporary Help Services",Business services
7372,"Computer Programming, Integrated Systems Design and Data Processing Services",Business services
7375,Information Retrieval Services,Business services
7379,"Computer Maintenance and Repair Services, Not Elsewhere Classified",Business services
7392,"Management, Consulting, and Public Relations Services",Business services
7393,Protective and Security Services - Including Armored Cars and Guard Dogs,Business services
7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",Business services
7395,"Photofinishing Laboratories, Photo Developing",Business services
7399,"Business Services, Not Elsewhere Classified",Business services
7511,Truck Stop,Business services
7512,Car Rental Companies (Not Listed Below),Business services
7513,Truck and Utility Trailer Rentals,Business services
7519,Motor Home and Recreational Vehicle Rentals,Business services
7523,Automobile Parking Lots and Garages,Business services
7531,Automotive Body Repair Shops,Repair services
7534,Tire Re-treading and Repair Shops,Repair services
7535,Paint Shops - Automotive,Repair services
7538,Automotive Service Shops,Repair services
7542,Car Washes,Repair services
7549,Towing Services,Repair services
7622,Radio Repair Shops,Repair services
7623,Air Conditioning and Refrigeration Repair Shops,Repair services
7629,Electrical And Small Appliance Repair Shops,Repair services
7631,"Watch, Clock, and Jewelry Repair",Repair services
7641,"Furniture, Furniture Repair, and Furniture Refinishing",Repair services
7692,Welding Repair,Repair services
7699,Repair Shops and Related Services - Miscellaneous,Repair services
7800,Government-Owned Lotteries,Entertainment
7801,Government-Licensed On-Line Casinos (On-Line Gambling),Entertainment
7802,Government-Licensed Horse/Dog Racing,Entertainment
7829,Motion Pictures and Video Tape Production and Distribution,Entertainment
7832,Motion Picture Theaters,Entertainment
7841,Video Tape Rental Stores,Entertainment
7911,"Dance Halls, Studios and Schools",Entertainment
7922,"Theatrical Producers (Except Motion Pictures), Ticket Agencies",Entertainment
7929,"Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)",Entertainment
7932,Billiard and Pool Establishments,Entertainment
7933,Bowling Alleys,Entertainment
7941,"Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters",Entertainment
7991,Tourist Attractions and Exhibits,Entertainment
7992,Golf Courses - Public,Entertainment
7993,Video Amusement Game Supplies,Entertainment
7994,Video Game Arcades/Establishments,Entertainment
7995,"Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers at Race Tracks)",Entertainment
7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",Entertainment
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",Entertainment
7998,"Aquariums, Sea-aquariums, Dolphinariums",Entertainment
7999,Recreation Services (Not Elsewhere Classified),Entertainment
8011,Doctors and Physicians (Not Elsewhere Classified),Professional services
8021,Dentists and Orthodontists,Professional services
8031,Osteopaths,Professional services
8041,Chiropractors,Professional services
8042,Optometrists and Ophthalmologists,Professional services
8043,"Opticians, Opticians Goods and Eyeglasses",Professional services
8044,"Opticians, Optical Goods, and Eyeglasses (no longer valid for first presentments)",Professional services
8049,Podiatrists and Chiropodists,Professional services
8050,Nursing and Personal Care Facilities,Professional services
8062,Hospitals,Professional services
8071,Medical and Dental Laboratories,Professional services
8099,Medical Services and Health Practitioners (Not Elsewhere Classified),Professional services
8111,Legal Services and Attorneys,Professional services
8211,Elementary and Secondary Schools,Professional services
8220,"Colleges, Junior Colleges, Universities, and ProfessionalSchools",Professional services
8241,Correspondence Schools,Professional services
8244,Business and Secretarial Schools,Professional services
8249,Vocational Schools and Trade Schools,Professional services
8299,Schools and Educational Services (Not Elsewhere Classified),Professional services
8351,Child Care Services,Professional services
8398,Charitable and Social Service Organizations,Professional services
8641,"Civic, Fraternal, and Social Associations",Professional services
8651,Political Organizations,Professional services
8661,Religious Organizations,Professional services
8675,Automobile Associations,Professional services
8699,Membership Organizations (Not Elsewhere Classified),Professional services
8734,Testing Laboratories (non-medical),Professional services
8911,Architectural - Engineering and Surveying Services,Professional services
8931,"Accounting, Auditing, and Bookkeeping Services",Professional services
8999,Professional Services (Not Elsewhere Defined),Professional services
9211,"Court Costs, including Alimony and Child Support",Government services
9222,Fines,Government services
9223,Bail and Bond Payments,Government services
9311,Tax Payments,Government services
9399,Government Services (Not Elsewhere Classified),Government services
9402,Postal Services - Government Only,Government services
9405,Intra - Government Transactions,Other
9700,Automated Referral Service (For Visa Only),Other
9701,Visa Credential Service (For Visa Only),Other
9702,GCAS Emergency Services (For Visa Only),Other
9950,Intra - Company Purchases (For Visa Only),Other
